开始 s5_t100 / mode_sdas_dpic_only，时间：2026-05-25T02:30:24
命令 F:\Anaconda\python.exe -u main.py


�����㷨��MODE-SDAS + DPIC only

========== MODE-SDAS + DPIC only Run 1/8 ==========
Init: HV=0.5494, feasible ratio=0.73
Gen  97: profit_max=253.00, profit_avg=115.16, load_min=0.00, att_min=0.00, quality_max=257.42, quality_avg=127.32, tasks_avg=19.50, HV=0.5431, feasible ratio=1.00, Nsub=21
Gen  98: profit_max=253.00, profit_avg=113.92, load_min=0.00, att_min=0.00, quality_max=257.42, quality_avg=126.58, tasks_avg=19.34, HV=0.5422, feasible ratio=1.00, Nsub=21
Gen  99: profit_max=253.00, profit_avg=113.84, load_min=0.00, att_min=0.00, quality_max=257.42, quality_avg=127.22, tasks_avg=19.37, HV=0.5435, feasible ratio=1.00, Nsub=21
Gen 100: profit_max=253.00, profit_avg=113.65, load_min=0.00, att_min=0.00, quality_max=257.42, quality_avg=126.70, tasks_avg=19.36, HV=0.5445, feasible ratio=1.00, Nsub=21
Final feasible solutions used for summary/HV: 100/100
Run 1 best: profit=253.0, load=0.00, att=0.00, quality=257.42

========== MODE-SDAS + DPIC only Run 2/8 ==========
Init: HV=0.6057, feasible ratio=0.76
Gen   1: profit_max=78.00, profit_avg=27.28, load_min=0.00, att_min=0.00, quality_max=90.44, quality_avg=30.37, tasks_avg=5.03, HV=0.5080, feasible ratio=1.00, Nsub=21
Gen   2: profit_max=122.00, profit_avg=44.05, load_min=0.00, att_min=0.00, quality_max=113.82, quality_avg=48.20, tasks_avg=8.00, HV=0.4138, feasible ratio=1.00, Nsub=21
Gen   3: profit_max=132.00, profit_avg=55.29, load_min=0.00, att_min=0.00, quality_max=133.33, quality_avg=60.47, tasks_avg=10.00, HV=0.4103, feasible ratio=1.00, Nsub=21
Gen   4: profit_max=139.00, profit_avg=61.86, load_min=0.00, att_min=0.00, quality_max=151.31, quality_avg=66.88, tasks_avg=11.06, HV=0.4785, feasible ratio=1.00, Nsub=21
Gen   5: profit_max=173.00, profit_avg=70.61, load_min=0.00, att_min=0.00, quality_max=192.11, quality_avg=76.72, tasks_avg=12.65, HV=0.3993, feasible ratio=1.00, Nsub=21
Gen   6: profit_max=207.00, profit_avg=79.49, load_min=0.00, att_min=0.00, quality_max=203.34, quality_avg=86.61, tasks_avg=14.21, HV=0.4300, feasible ratio=1.00, Nsub=21
Gen   7: profit_max=238.00, profit_avg=80.30, load_min=0.00, att_min=0.00, quality_max=251.80, quality_avg=88.23, tasks_avg=14.34, HV=0.4343, feasible ratio=1.00, Nsub=21
Gen   8: profit_max=238.00, profit_avg=84.14, load_min=0.00, att_min=0.00, quality_max=251.80, quality_avg=91.84, tasks_avg=14.94, HV=0.4359, feasible ratio=1.00, Nsub=21
Gen   9: profit_max=238.00, profit_avg=89.75, load_min=0.00, att_min=0.00, quality_max=251.80, quality_avg=97.13, tasks_avg=15.91, HV=0.4645, feasible ratio=1.00, Nsub=21
Gen  10: profit_max=238.00, profit_avg=91.93, load_min=0.00, att_min=0.00, quality_max=251.80, quality_avg=99.20, tasks_avg=16.30, HV=0.4648, feasible ratio=1.00, Nsub=21
Gen  11: profit_max=238.00, profit_avg=93.76, load_min=0.00, att_min=0.00, quality_max=251.80, quality_avg=100.69, tasks_avg=16.55, HV=0.4674, feasible ratio=1.00, Nsub=21
Gen  12: profit_max=246.00, profit_avg=98.11, load_min=0.00, att_min=0.00, quality_max=251.80, quality_avg=104.18, tasks_avg=17.18, HV=0.4758, feasible ratio=1.00, Nsub=21
Gen  13: profit_max=252.00, profit_avg=104.43, load_min=0.00, att_min=0.00, quality_max=251.80, quality_avg=109.92, tasks_avg=18.16, HV=0.4762, feasible ratio=1.00, Nsub=21
Gen  14: profit_max=252.00, profit_avg=107.04, load_min=0.00, att_min=0.00, quality_max=251.80, quality_avg=112.76, tasks_avg=18.65, HV=0.4774, feasible ratio=1.00, Nsub=21
Gen  15: profit_max=252.00, profit_avg=104.68, load_min=0.00, att_min=0.00, quality_max=251.80, quality_avg=110.49, tasks_avg=18.22, HV=0.4776, feasible ratio=1.00, Nsub=21
Gen  16: profit_max=263.00, profit_avg=106.74, load_min=0.00, att_min=0.00, quality_max=251.80, quality_avg=111.38, tasks_avg=18.42, HV=0.4676, feasible ratio=1.00, Nsub=21
Gen  17: profit_max=263.00, profit_avg=107.62, load_min=0.00, att_min=0.00, quality_max=251.80, quality_avg=111.79, tasks_avg=18.55, HV=0.4675, feasible ratio=1.00, Nsub=21
Gen  18: profit_max=263.00, profit_avg=109.61, load_min=0.00, att_min=0.00, quality_max=251.80, quality_avg=113.24, tasks_avg=18.87, HV=0.4673, feasible ratio=1.00, Nsub=21
Gen  19: profit_max=263.00, profit_avg=109.43, load_min=0.00, att_min=0.00, quality_max=251.80, quality_avg=112.96, tasks_avg=18.81, HV=0.4668, feasible ratio=1.00, Nsub=21
Gen  20: profit_max=263.00, profit_avg=110.49, load_min=0.00, att_min=0.00, quality_max=251.80, quality_avg=113.73, tasks_avg=18.91, HV=0.4669, feasible ratio=1.00, Nsub=21
Gen  21: profit_max=263.00, profit_avg=111.01, load_min=0.00, att_min=0.00, quality_max=251.80, quality_avg=114.35, tasks_avg=19.00, HV=0.4673, feasible ratio=1.00, Nsub=21
Gen  22: profit_max=263.00, profit_avg=110.71, load_min=0.00, att_min=0.00, quality_max=251.80, quality_avg=114.17, tasks_avg=18.95, HV=0.4674, feasible ratio=1.00, Nsub=21
Gen  23: profit_max=263.00, profit_avg=109.96, load_min=0.00, att_min=0.00, quality_max=251.80, quality_avg=114.18, tasks_avg=18.87, HV=0.4677, feasible ratio=1.00, Nsub=21
Gen  24: profit_max=263.00, profit_avg=111.12, load_min=0.00, att_min=0.00, quality_max=251.80, quality_avg=115.01, tasks_avg=18.98, HV=0.4677, feasible ratio=1.00, Nsub=21
Gen  25: profit_max=263.00, profit_avg=111.13, load_min=0.00, att_min=0.00, quality_max=251.80, quality_avg=115.87, tasks_avg=19.06, HV=0.4676, feasible ratio=1.00, Nsub=21
Gen  26: profit_max=263.00, profit_avg=110.48, load_min=0.00, att_min=0.00, quality_max=251.80, quality_avg=113.58, tasks_avg=18.82, HV=0.4641, feasible ratio=1.00, Nsub=21
Gen  27: profit_max=263.00, profit_avg=110.95, load_min=0.00, att_min=0.00, quality_max=251.80, quality_avg=113.79, tasks_avg=18.83, HV=0.4649, feasible ratio=1.00, Nsub=21
Gen  28: profit_max=263.00, profit_avg=111.53, load_min=0.00, att_min=0.00, quality_max=251.80, quality_avg=114.54, tasks_avg=18.93, HV=0.4651, feasible ratio=1.00, Nsub=21
Gen  29: profit_max=263.00, profit_avg=113.08, load_min=0.00, att_min=0.00, quality_max=251.80, quality_avg=115.95, tasks_avg=19.24, HV=0.4654, feasible ratio=1.00, Nsub=21
Gen  30: profit_max=263.00, profit_avg=116.14, load_min=0.00, att_min=0.00, quality_max=251.80, quality_avg=118.73, tasks_avg=19.75, HV=0.4656, feasible ratio=1.00, Nsub=21
Gen  31: profit_max=263.00, profit_avg=115.98, load_min=0.00, att_min=0.00, quality_max=251.80, quality_avg=118.44, tasks_avg=19.73, HV=0.4660, feasible ratio=1.00, Nsub=21
Gen  32: profit_max=263.00, profit_avg=115.44, load_min=0.00, att_min=0.00, quality_max=251.80, quality_avg=118.14, tasks_avg=19.69, HV=0.4671, feasible ratio=1.00, Nsub=21
Gen  33: profit_max=263.00, profit_avg=114.69, load_min=0.00, att_min=0.00, quality_max=251.80, quality_avg=117.55, tasks_avg=19.56, HV=0.4707, feasible ratio=1.00, Nsub=21
Gen  34: profit_max=263.00, profit_avg=114.55, load_min=0.00, att_min=0.00, quality_max=251.80, quality_avg=117.01, tasks_avg=19.51, HV=0.4707, feasible ratio=1.00, Nsub=21
Gen  35: profit_max=263.00, profit_avg=115.01, load_min=0.00, att_min=0.00, quality_max=251.80, quality_avg=117.63, tasks_avg=19.50, HV=0.4700, feasible ratio=1.00, Nsub=21
Gen  36: profit_max=263.00, profit_avg=116.28, load_min=0.00, att_min=0.00, quality_max=251.80, quality_avg=118.27, tasks_avg=19.76, HV=0.4695, feasible ratio=1.00, Nsub=21
