开始 s5_t100 / mode_sdas_dpic，时间：2026-05-27T10:47:56
命令 F:\Anaconda\python.exe -u main.py


�����㷨��MODE-SDAS-DPIC Full

========== MODE-SDAS-DPIC Full Run 1/8 ==========
Init: HV=0.5327, feasible ratio=0.83
Gen  58: profit_max=318.00, profit_avg=150.12, load_min=0.00, att_min=0.00, quality_max=326.95, quality_avg=156.29, tasks_avg=26.07, HV=0.4666, feasible ratio=1.00, Nsub=21, fea_archive=200, inf_archive=17
Gen  59: profit_max=318.00, profit_avg=150.12, load_min=0.00, att_min=0.00, quality_max=326.95, quality_avg=156.29, tasks_avg=26.07, HV=0.4666, feasible ratio=1.00, Nsub=21, fea_archive=200, inf_archive=17
Gen  60: profit_max=318.00, profit_avg=149.60, load_min=0.00, att_min=0.00, quality_max=326.95, quality_avg=155.25, tasks_avg=25.89, HV=0.4669, feasible ratio=1.00, Nsub=21, fea_archive=200, inf_archive=17
Gen  61: profit_max=318.00, profit_avg=151.82, load_min=0.00, att_min=0.00, quality_max=326.95, quality_avg=158.23, tasks_avg=26.36, HV=0.4704, feasible ratio=1.00, Nsub=21, fea_archive=200, inf_archive=17
Gen  62: profit_max=318.00, profit_avg=150.26, load_min=0.00, att_min=0.00, quality_max=326.95, quality_avg=156.49, tasks_avg=26.11, HV=0.4661, feasible ratio=1.00, Nsub=21, fea_archive=200, inf_archive=17
Gen  63: profit_max=318.00, profit_avg=150.38, load_min=0.00, att_min=0.00, quality_max=326.95, quality_avg=156.99, tasks_avg=26.14, HV=0.4661, feasible ratio=1.00, Nsub=21, fea_archive=200, inf_archive=17
Gen  64: profit_max=318.00, profit_avg=150.44, load_min=0.00, att_min=0.00, quality_max=326.95, quality_avg=156.75, tasks_avg=26.18, HV=0.4661, feasible ratio=1.00, Nsub=21, fea_archive=200, inf_archive=17
Gen  65: profit_max=318.00, profit_avg=150.70, load_min=0.00, att_min=0.00, quality_max=326.95, quality_avg=156.61, tasks_avg=26.18, HV=0.4671, feasible ratio=1.00, Nsub=21, fea_archive=200, inf_archive=17
Gen  66: profit_max=318.00, profit_avg=152.74, load_min=0.00, att_min=0.00, quality_max=326.95, quality_avg=158.41, tasks_avg=26.53, HV=0.4671, feasible ratio=1.00, Nsub=21, fea_archive=200, inf_archive=17
Gen  67: profit_max=318.00, profit_avg=151.67, load_min=0.00, att_min=0.00, quality_max=326.95, quality_avg=157.58, tasks_avg=26.36, HV=0.4654, feasible ratio=1.00, Nsub=21, fea_archive=200, inf_archive=17
Gen  68: profit_max=318.00, profit_avg=155.56, load_min=0.00, att_min=0.00, quality_max=326.95, quality_avg=161.53, tasks_avg=27.04, HV=0.4678, feasible ratio=1.00, Nsub=21, fea_archive=200, inf_archive=17
Gen  69: profit_max=318.00, profit_avg=155.36, load_min=0.00, att_min=0.00, quality_max=326.95, quality_avg=161.55, tasks_avg=26.97, HV=0.4663, feasible ratio=1.00, Nsub=21, fea_archive=200, inf_archive=17
Gen  70: profit_max=318.00, profit_avg=154.27, load_min=0.00, att_min=0.00, quality_max=326.95, quality_avg=160.90, tasks_avg=26.87, HV=0.4656, feasible ratio=1.00, Nsub=21, fea_archive=200, inf_archive=17
Gen  71: profit_max=318.00, profit_avg=154.27, load_min=0.00, att_min=0.00, quality_max=326.95, quality_avg=162.00, tasks_avg=26.94, HV=0.4658, feasible ratio=1.00, Nsub=21, fea_archive=200, inf_archive=17
Gen  72: profit_max=318.00, profit_avg=154.39, load_min=0.00, att_min=0.00, quality_max=326.95, quality_avg=162.07, tasks_avg=26.95, HV=0.4665, feasible ratio=1.00, Nsub=21, fea_archive=200, inf_archive=17
Gen  73: profit_max=318.00, profit_avg=154.84, load_min=0.00, att_min=0.00, quality_max=326.95, quality_avg=162.54, tasks_avg=27.04, HV=0.4666, feasible ratio=1.00, Nsub=21, fea_archive=200, inf_archive=17
Gen  74: profit_max=318.00, profit_avg=155.06, load_min=0.00, att_min=0.00, quality_max=326.95, quality_avg=162.62, tasks_avg=27.05, HV=0.4641, feasible ratio=1.00, Nsub=21, fea_archive=200, inf_archive=17
Gen  75: profit_max=318.00, profit_avg=155.04, load_min=0.00, att_min=0.00, quality_max=326.95, quality_avg=162.49, tasks_avg=26.98, HV=0.4752, feasible ratio=1.00, Nsub=21, fea_archive=200, inf_archive=17
Gen  76: profit_max=318.00, profit_avg=152.07, load_min=0.00, att_min=0.00, quality_max=326.95, quality_avg=159.00, tasks_avg=26.43, HV=0.4802, feasible ratio=1.00, Nsub=21, fea_archive=200, inf_archive=17
Gen  77: profit_max=318.00, profit_avg=150.42, load_min=0.00, att_min=0.00, quality_max=326.95, quality_avg=157.41, tasks_avg=26.16, HV=0.4802, feasible ratio=1.00, Nsub=21, fea_archive=200, inf_archive=17
Gen  78: profit_max=318.00, profit_avg=150.69, load_min=0.00, att_min=0.00, quality_max=326.95, quality_avg=157.72, tasks_avg=26.21, HV=0.4802, feasible ratio=1.00, Nsub=21, fea_archive=200, inf_archive=17
