ÂºÄÂßã s5_t100 / mode_sdasÔºåÊó∂Èó¥Ôºö2026-05-25T07:31:39
ÂëΩ‰ª§ F:\Anaconda\python.exe -u main.py


‘À––À„∑®£∫MODE-SDAS

========== MODE-SDAS Run 1/8 ==========
Init: HV=0.5651, feasible ratio=0.80
Gen   1: profit_max=   60.00, profit_avg=   22.29, load_min=      0.00, att_min=      0.00, quality_max=     80.96, quality_avg=     31.15, tasks_avg=  4.88, HV=0.4824, feasible ratio=1.00
Gen  67: profit_max=  312.00, profit_avg=  154.85, load_min=      0.00, att_min=      0.00, quality_max=    353.45, quality_avg=    174.33, tasks_avg= 28.59, HV=0.4505, feasible ratio=1.00
Gen  68: profit_max=  312.00, profit_avg=  154.94, load_min=      0.00, att_min=      0.00, quality_max=    353.45, quality_avg=    174.57, tasks_avg= 28.52, HV=0.4529, feasible ratio=1.00
Gen  69: profit_max=  312.00, profit_avg=  157.30, load_min=      0.00, att_min=      0.00, quality_max=    353.45, quality_avg=    177.76, tasks_avg= 28.99, HV=0.4552, feasible ratio=1.00
Gen  70: profit_max=  312.00, profit_avg=  156.58, load_min=      0.00, att_min=      0.00, quality_max=    353.45, quality_avg=    177.16, tasks_avg= 28.86, HV=0.4531, feasible ratio=1.00
Gen  71: profit_max=  312.00, profit_avg=  157.01, load_min=      0.00, att_min=      0.00, quality_max=    353.45, quality_avg=    177.16, tasks_avg= 28.92, HV=0.4537, feasible ratio=1.00
Gen  72: profit_max=  312.00, profit_avg=  156.53, load_min=      0.00, att_min=      0.00, quality_max=    353.45, quality_avg=    176.95, tasks_avg= 28.84, HV=0.4537, feasible ratio=1.00
Gen  73: profit_max=  317.00, profit_avg=  159.16, load_min=      0.00, att_min=      0.00, quality_max=    353.45, quality_avg=    179.16, tasks_avg= 29.39, HV=0.4819, feasible ratio=1.00
Gen  74: profit_max=  317.00, profit_avg=  159.28, load_min=      0.00, att_min=      0.00, quality_max=    353.45, quality_avg=    179.66, tasks_avg= 29.44, HV=0.4796, feasible ratio=1.00
Gen  75: profit_max=  317.00, profit_avg=  159.36, load_min=      0.00, att_min=      0.00, quality_max=    353.45, quality_avg=    179.68, tasks_avg= 29.46, HV=0.4820, feasible ratio=1.00
Gen  76: profit_max=  317.00, profit_avg=  158.01, load_min=      0.00, att_min=      0.00, quality_max=    367.27, quality_avg=    179.10, tasks_avg= 29.20, HV=0.4691, feasible ratio=1.00
