START s5_t100 / mode_sdas_dpic: 2026-05-27T19:12:41
COMMAND F:\Anaconda\python.exe -u main.py


‘À––À„∑®£∫MODE-SDAS-DPIC Full

========== MODE-SDAS-DPIC Full Run 1/8 ==========
Init: HV=0.5436, feasible ratio=0.79
Gen  99: profit_max=278.00, profit_avg=133.79, load_min=0.00, att_min=0.00, quality_max=292.99, quality_avg=153.45, tasks_avg=24.55, HV=0.4810, feasible ratio=1.00, Nsub=11, fea_archive=200, inf_archive=21
Gen 100: profit_max=278.00, profit_avg=131.71, load_min=0.00, att_min=0.00, quality_max=292.99, quality_avg=150.57, tasks_avg=24.13, HV=0.4789, feasible ratio=1.00, Nsub=11, fea_archive=200, inf_archive=21
Final feasible solutions used for summary/HV: 100/100
Run 1 best: profit=278.0, load=0.00, att=0.00, quality=292.99

========== MODE-SDAS-DPIC Full Run 2/8 ==========
Init: HV=0.3651, feasible ratio=0.73
Gen   1: profit_max=54.00, profit_avg=21.85, load_min=0.00, att_min=0.00, quality_max=64.08, quality_avg=27.49, tasks_avg=4.32, HV=0.5519, feasible ratio=1.00, Nsub=21, fea_archive=173, inf_archive=27
Gen   2: profit_max=95.00, profit_avg=32.92, load_min=0.00, att_min=0.00, quality_max=113.61, quality_avg=41.96, tasks_avg=6.66, HV=0.3653, feasible ratio=1.00, Nsub=21, fea_archive=200, inf_archive=27
Gen   3: profit_max=113.00, profit_avg=47.55, load_min=0.00, att_min=0.00, quality_max=133.79, quality_avg=59.29, tasks_avg=9.48, HV=0.4302, feasible ratio=1.00, Nsub=21, fea_archive=200, inf_archive=27
Gen   4: profit_max=132.00, profit_avg=53.40, load_min=0.00, att_min=0.00, quality_max=150.24, quality_avg=65.70, tasks_avg=10.62, HV=0.5065, feasible ratio=1.00, Nsub=21, fea_archive=200, inf_archive=27
Gen   5: profit_max=165.00, profit_avg=59.63, load_min=0.00, att_min=0.00, quality_max=169.06, quality_avg=73.38, tasks_avg=11.86, HV=0.4279, feasible ratio=1.00, Nsub=21, fea_archive=200, inf_archive=27
Gen   6: profit_max=165.00, profit_avg=65.78, load_min=0.00, att_min=0.00, quality_max=182.85, quality_avg=80.16, tasks_avg=12.92, HV=0.4096, feasible ratio=1.00, Nsub=21, fea_archive=200, inf_archive=27
Gen   7: profit_max=225.00, profit_avg=73.18, load_min=0.00, att_min=0.00, quality_max=252.58, quality_avg=87.61, tasks_avg=14.25, HV=0.3141, feasible ratio=1.00, Nsub=21, fea_archive=200, inf_archive=27
Gen   8: profit_max=225.00, profit_avg=77.41, load_min=0.00, att_min=0.00, quality_max=252.58, quality_avg=92.10, tasks_avg=14.97, HV=0.3189, feasible ratio=1.00, Nsub=21, fea_archive=200, inf_archive=27
Gen   9: profit_max=225.00, profit_avg=81.17, load_min=0.00, att_min=0.00, quality_max=252.58, quality_avg=96.48, tasks_avg=15.76, HV=0.3497, feasible ratio=1.00, Nsub=21, fea_archive=200, inf_archive=27
Gen  10: profit_max=225.00, profit_avg=86.92, load_min=0.00, att_min=0.00, quality_max=252.58, quality_avg=102.38, tasks_avg=16.79, HV=0.3580, feasible ratio=1.00, Nsub=21, fea_archive=200, inf_archive=27
Gen  11: profit_max=230.00, profit_avg=91.74, load_min=0.00, att_min=0.00, quality_max=252.58, quality_avg=106.75, tasks_avg=17.70, HV=0.3551, feasible ratio=1.00, Nsub=21, fea_archive=200, inf_archive=27
Gen  12: profit_max=230.00, profit_avg=90.83, load_min=0.00, att_min=0.00, quality_max=252.58, quality_avg=105.94, tasks_avg=17.51, HV=0.3597, feasible ratio=1.00, Nsub=21, fea_archive=200, inf_archive=27
Gen  13: profit_max=230.00, profit_avg=93.66, load_min=0.00, att_min=0.00, quality_max=296.46, quality_avg=109.02, tasks_avg=18.03, HV=0.3670, feasible ratio=1.00, Nsub=21, fea_archive=200, inf_archive=27
Gen  14: profit_max=230.00, profit_avg=95.19, load_min=0.00, att_min=0.00, quality_max=296.46, quality_avg=111.02, tasks_avg=18.30, HV=0.3732, feasible ratio=1.00, Nsub=21, fea_archive=200, inf_archive=27
Gen  15: profit_max=230.00, profit_avg=94.94, load_min=0.00, att_min=0.00, quality_max=296.46, quality_avg=110.80, tasks_avg=18.29, HV=0.3714, feasible ratio=1.00, Nsub=21, fea_archive=200, inf_archive=27
Gen  16: profit_max=230.00, profit_avg=101.82, load_min=0.00, att_min=0.00, quality_max=296.46, quality_avg=117.26, tasks_avg=19.59, HV=0.3730, feasible ratio=1.00, Nsub=21, fea_archive=200, inf_archive=27
