开始 s5_t300 / mode_sdas_dpic_dual_archive，时间：2026-05-26T17:12:01
命令 F:\Anaconda\python.exe -u main.py


�����㷨��MODE-SDAS + DPIC + Dual Archive

========== MODE-SDAS + DPIC + Dual Archive Run 1/8 ==========
Init: HV=0.3966, feasible ratio=0.43
Gen  99: profit_max=471.00, profit_avg=218.88, load_min=78.64, att_min=0.00, quality_max=476.71, quality_avg=222.18, tasks_avg=36.96, HV=0.3246, feasible ratio=1.00, fea_archive=200, inf_archive=113
Gen 100: profit_max=471.00, profit_avg=215.84, load_min=78.64, att_min=0.00, quality_max=476.71, quality_avg=218.96, tasks_avg=36.44, HV=0.3445, feasible ratio=1.00, fea_archive=200, inf_archive=113
Final feasible solutions used for summary/HV: 100/100
Run 1 best: profit=471.0, load=78.64, att=0.00, quality=476.71

========== MODE-SDAS + DPIC + Dual Archive Run 2/8 ==========
Init: HV=0.3267, feasible ratio=0.51
Gen   1: profit_max=173.00, profit_avg=70.51, load_min=23.76, att_min=0.00, quality_max=172.38, quality_avg=78.89, tasks_avg=12.81, HV=0.3407, feasible ratio=0.71, fea_archive=122, inf_archive=78
Gen   2: profit_max=239.00, profit_avg=80.33, load_min=23.76, att_min=0.00, quality_max=257.28, quality_avg=88.12, tasks_avg=14.56, HV=0.2818, feasible ratio=0.98, fea_archive=200, inf_archive=80
Gen   3: profit_max=239.00, profit_avg=94.14, load_min=23.76, att_min=0.00, quality_max=260.38, quality_avg=100.71, tasks_avg=16.65, HV=0.3225, feasible ratio=1.00, fea_archive=200, inf_archive=80
Gen   4: profit_max=241.00, profit_avg=110.53, load_min=23.76, att_min=0.00, quality_max=260.38, quality_avg=117.57, tasks_avg=19.53, HV=0.4054, feasible ratio=1.00, fea_archive=200, inf_archive=80
Gen   5: profit_max=242.00, profit_avg=115.27, load_min=23.76, att_min=0.00, quality_max=260.38, quality_avg=124.32, tasks_avg=20.44, HV=0.4413, feasible ratio=1.00, fea_archive=200, inf_archive=80
Gen   6: profit_max=258.00, profit_avg=117.48, load_min=23.76, att_min=0.00, quality_max=269.70, quality_avg=126.36, tasks_avg=20.83, HV=0.4170, feasible ratio=1.00, fea_archive=200, inf_archive=80
Gen   7: profit_max=258.00, profit_avg=117.09, load_min=23.76, att_min=0.00, quality_max=269.70, quality_avg=125.28, tasks_avg=20.65, HV=0.4211, feasible ratio=1.00, fea_archive=200, inf_archive=80
Gen   8: profit_max=282.00, profit_avg=120.97, load_min=23.76, att_min=0.00, quality_max=289.38, quality_avg=128.76, tasks_avg=21.15, HV=0.4005, feasible ratio=1.00, fea_archive=200, inf_archive=80
Gen   9: profit_max=282.00, profit_avg=125.59, load_min=23.76, att_min=0.00, quality_max=289.38, quality_avg=133.67, tasks_avg=21.96, HV=0.4076, feasible ratio=1.00, fea_archive=200, inf_archive=80
Gen  10: profit_max=282.00, profit_avg=129.89, load_min=23.76, att_min=0.00, quality_max=309.24, quality_avg=138.78, tasks_avg=22.81, HV=0.3816, feasible ratio=1.00, fea_archive=200, inf_archive=80
Gen  11: profit_max=325.00, profit_avg=134.24, load_min=23.76, att_min=0.00, quality_max=331.61, quality_avg=143.80, tasks_avg=23.63, HV=0.3286, feasible ratio=1.00, fea_archive=200, inf_archive=80
Gen  12: profit_max=325.00, profit_avg=135.44, load_min=23.76, att_min=0.00, quality_max=331.61, quality_avg=145.10, tasks_avg=23.86, HV=0.3286, feasible ratio=1.00, fea_archive=200, inf_archive=80
Gen  13: profit_max=325.00, profit_avg=145.11, load_min=23.76, att_min=0.00, quality_max=331.61, quality_avg=154.83, tasks_avg=25.58, HV=0.3292, feasible ratio=1.00, fea_archive=200, inf_archive=80
Gen  14: profit_max=325.00, profit_avg=148.99, load_min=23.76, att_min=0.00, quality_max=331.61, quality_avg=157.38, tasks_avg=26.12, HV=0.3293, feasible ratio=1.00, fea_archive=200, inf_archive=80
