开始 s5_t300 / mode_sdas_dual_archive，时间：2026-05-25T22:07:31
命令 F:\Anaconda\python.exe -u main.py


�����㷨��MODE-SDAS + Dual Archive

========== MODE-SDAS + Dual Archive Run 1/8 ==========
Init: HV=0.3074, feasible ratio=0.51
Gen  36: profit_max=478.00 load_min=69.20, att_min=0.00, quality_max=423.09 HV=0.3467, feasible ratio=1.00, fea_archive=200, inf_archive=94
Gen  37: profit_max=478.00 load_min=69.20, att_min=0.00, quality_max=423.09 HV=0.3468, feasible ratio=1.00, fea_archive=200, inf_archive=94
Gen  38: profit_max=478.00 load_min=69.20, att_min=0.00, quality_max=423.09 HV=0.3470, feasible ratio=1.00, fea_archive=200, inf_archive=94
Gen  39: profit_max=478.00 load_min=69.20, att_min=0.00, quality_max=423.09 HV=0.3471, feasible ratio=1.00, fea_archive=200, inf_archive=94
Gen  40: profit_max=478.00 load_min=69.20, att_min=0.00, quality_max=423.09 HV=0.3477, feasible ratio=1.00, fea_archive=200, inf_archive=94
Gen  41: profit_max=478.00 load_min=69.20, att_min=0.00, quality_max=423.09 HV=0.3480, feasible ratio=1.00, fea_archive=200, inf_archive=94
Gen  42: profit_max=478.00 load_min=69.20, att_min=0.00, quality_max=423.09 HV=0.3482, feasible ratio=1.00, fea_archive=200, inf_archive=94
Gen  43: profit_max=478.00 load_min=69.20, att_min=0.00, quality_max=423.09 HV=0.3475, feasible ratio=1.00, fea_archive=200, inf_archive=94
Gen  44: profit_max=478.00 load_min=69.20, att_min=0.00, quality_max=423.09 HV=0.3493, feasible ratio=1.00, fea_archive=200, inf_archive=94
Gen  45: profit_max=478.00 load_min=69.20, att_min=0.00, quality_max=423.09 HV=0.3501, feasible ratio=1.00, fea_archive=200, inf_archive=94
Gen  46: profit_max=478.00 load_min=69.20, att_min=0.00, quality_max=423.09 HV=0.3501, feasible ratio=1.00, fea_archive=200, inf_archive=94
Gen  47: profit_max=478.00 load_min=69.20, att_min=0.00, quality_max=423.09 HV=0.3501, feasible ratio=1.00, fea_archive=200, inf_archive=94
Gen  48: profit_max=478.00 load_min=69.20, att_min=0.00, quality_max=423.09 HV=0.3561, feasible ratio=1.00, fea_archive=200, inf_archive=94
Gen  49: profit_max=478.00 load_min=69.20, att_min=0.00, quality_max=423.09 HV=0.3561, feasible ratio=1.00, fea_archive=200, inf_archive=94
Gen  50: profit_max=478.00 load_min=69.20, att_min=0.00, quality_max=423.09 HV=0.3563, feasible ratio=1.00, fea_archive=200, inf_archive=94
