START s5_t300 / mode_sdas_dpic_dual_archive: 2026-05-28T09:32:28
COMMAND F:\Anaconda\python.exe -u main.py


‘À––À„∑®£∫MODE-SDAS + DPIC + Dual Archive

========== MODE-SDAS + DPIC + Dual Archive Run 1/8 ==========
Init: HV=0.3376, feasible ratio=0.48
Gen  67: profit_max=390.00, profit_avg=182.34, load_min=81.04, att_min=26.84, quality_max=449.85, quality_avg=205.92, tasks_avg=32.69, HV=0.3612, feasible ratio=1.00, fea_archive=200, inf_archive=102
Gen  68: profit_max=390.00, profit_avg=182.34, load_min=81.04, att_min=26.84, quality_max=449.85, quality_avg=205.92, tasks_avg=32.69, HV=0.3612, feasible ratio=1.00, fea_archive=200, inf_archive=102
Gen  69: profit_max=390.00, profit_avg=182.68, load_min=81.04, att_min=26.84, quality_max=449.85, quality_avg=205.71, tasks_avg=32.76, HV=0.3609, feasible ratio=1.00, fea_archive=200, inf_archive=102
Gen  70: profit_max=390.00, profit_avg=182.01, load_min=81.04, att_min=26.84, quality_max=449.85, quality_avg=204.29, tasks_avg=32.61, HV=0.3613, feasible ratio=1.00, fea_archive=200, inf_archive=102
Gen  71: profit_max=390.00, profit_avg=182.05, load_min=81.04, att_min=26.84, quality_max=449.85, quality_avg=204.34, tasks_avg=32.60, HV=0.3613, feasible ratio=1.00, fea_archive=200, inf_archive=102
Gen  72: profit_max=390.00, profit_avg=182.30, load_min=81.04, att_min=26.84, quality_max=449.85, quality_avg=204.78, tasks_avg=32.63, HV=0.3626, feasible ratio=1.00, fea_archive=200, inf_archive=102
Gen  73: profit_max=390.00, profit_avg=184.87, load_min=81.04, att_min=26.84, quality_max=449.85, quality_avg=207.34, tasks_avg=33.01, HV=0.3626, feasible ratio=1.00, fea_archive=200, inf_archive=102
Gen  74: profit_max=390.00, profit_avg=185.14, load_min=81.04, att_min=26.84, quality_max=449.85, quality_avg=207.63, tasks_avg=33.08, HV=0.3627, feasible ratio=1.00, fea_archive=200, inf_archive=102
Gen  75: profit_max=390.00, profit_avg=184.12, load_min=81.04, att_min=26.84, quality_max=449.85, quality_avg=207.08, tasks_avg=32.96, HV=0.3627, feasible ratio=1.00, fea_archive=200, inf_archive=102
Gen  76: profit_max=407.00, profit_avg=184.46, load_min=81.04, att_min=26.84, quality_max=449.85, quality_avg=207.30, tasks_avg=33.00, HV=0.3520, feasible ratio=1.00, fea_archive=200, inf_archive=102
Gen  77: profit_max=407.00, profit_avg=184.46, load_min=81.04, att_min=26.84, quality_max=449.85, quality_avg=207.30, tasks_avg=33.00, HV=0.3520, feasible ratio=1.00, fea_archive=200, inf_archive=102
Gen  78: profit_max=407.00, profit_avg=184.46, load_min=81.04, att_min=26.84, quality_max=449.85, quality_avg=207.30, tasks_avg=33.00, HV=0.3520, feasible ratio=1.00, fea_archive=200, inf_archive=102
Gen  79: profit_max=407.00, profit_avg=184.66, load_min=81.04, att_min=26.84, quality_max=449.85, quality_avg=207.08, tasks_avg=32.94, HV=0.3546, feasible ratio=1.00, fea_archive=200, inf_archive=102
Gen  80: profit_max=407.00, profit_avg=185.05, load_min=81.04, att_min=26.84, quality_max=449.85, quality_avg=207.12, tasks_avg=32.96, HV=0.3551, feasible ratio=1.00, fea_archive=200, inf_archive=102
Gen  81: profit_max=407.00, profit_avg=185.05, load_min=81.04, att_min=26.84, quality_max=449.85, quality_avg=207.12, tasks_avg=32.96, HV=0.3551, feasible ratio=1.00, fea_archive=200, inf_archive=102
Gen  82: profit_max=407.00, profit_avg=185.65, load_min=81.04, att_min=26.84, quality_max=449.85, quality_avg=207.47, tasks_avg=33.06, HV=0.3553, feasible ratio=1.00, fea_archive=200, inf_archive=102
Gen  83: profit_max=407.00, profit_avg=185.68, load_min=81.04, att_min=26.84, quality_max=449.85, quality_avg=206.25, tasks_avg=33.00, HV=0.3553, feasible ratio=1.00, fea_archive=200, inf_archive=102
Gen  84: profit_max=407.00, profit_avg=187.20, load_min=81.04, att_min=26.84, quality_max=449.85, quality_avg=208.08, tasks_avg=33.29, HV=0.3553, feasible ratio=1.00, fea_archive=200, inf_archive=102
Gen  85: profit_max=407.00, profit_avg=187.20, load_min=81.04, att_min=26.84, quality_max=449.85, quality_avg=208.08, tasks_avg=33.29, HV=0.3553, feasible ratio=1.00, fea_archive=200, inf_archive=102
Gen  86: profit_max=407.00, profit_avg=187.20, load_min=81.04, att_min=26.84, quality_max=449.85, quality_avg=208.08, tasks_avg=33.29, HV=0.3553, feasible ratio=1.00, fea_archive=200, inf_archive=102
Gen  87: profit_max=407.00, profit_avg=187.68, load_min=81.04, att_min=26.84, quality_max=449.85, quality_avg=210.08, tasks_avg=33.41, HV=0.3556, feasible ratio=1.00, fea_archive=200, inf_archive=102
Gen  88: profit_max=407.00, profit_avg=187.68, load_min=81.04, att_min=26.84, quality_max=449.85, quality_avg=210.08, tasks_avg=33.41, HV=0.3556, feasible ratio=1.00, fea_archive=200, inf_archive=102
Gen  89: profit_max=407.00, profit_avg=188.92, load_min=81.04, att_min=26.84, quality_max=449.85, quality_avg=210.83, tasks_avg=33.52, HV=0.3566, feasible ratio=1.00, fea_archive=200, inf_archive=102
Gen  90: profit_max=407.00, profit_avg=186.32, load_min=81.04, att_min=26.84, quality_max=449.85, quality_avg=208.06, tasks_avg=33.05, HV=0.3566, feasible ratio=1.00, fea_archive=200, inf_archive=102
Gen  91: profit_max=407.00, profit_avg=187.01, load_min=81.04, att_min=26.84, quality_max=449.85, quality_avg=208.30, tasks_avg=33.13, HV=0.3571, feasible ratio=1.00, fea_archive=200, inf_archive=102
Gen  92: profit_max=407.00, profit_avg=187.01, load_min=81.04, att_min=26.84, quality_max=449.85, quality_avg=208.30, tasks_avg=33.13, HV=0.3571, feasible ratio=1.00, fea_archive=200, inf_archive=102
Gen  93: profit_max=407.00, profit_avg=188.19, load_min=81.04, att_min=26.84, quality_max=449.85, quality_avg=208.86, tasks_avg=33.29, HV=0.3570, feasible ratio=1.00, fea_archive=200, inf_archive=102
Gen  94: profit_max=407.00, profit_avg=186.50, load_min=81.04, att_min=26.84, quality_max=449.85, quality_avg=207.15, tasks_avg=33.00, HV=0.3602, feasible ratio=1.00, fea_archive=200, inf_archive=102
Gen  95: profit_max=407.00, profit_avg=186.15, load_min=81.04, att_min=26.84, quality_max=449.85, quality_avg=206.99, tasks_avg=32.89, HV=0.3611, feasible ratio=1.00, fea_archive=200, inf_archive=102
Gen  96: profit_max=461.00, profit_avg=187.76, load_min=81.04, att_min=26.84, quality_max=467.14, quality_avg=207.74, tasks_avg=32.99, HV=0.3439, feasible ratio=1.00, fea_archive=200, inf_archive=102
Gen  97: profit_max=461.00, profit_avg=187.76, load_min=81.04, att_min=26.84, quality_max=467.14, quality_avg=207.74, tasks_avg=32.99, HV=0.3439, feasible ratio=1.00, fea_archive=200, inf_archive=102
Gen  98: profit_max=461.00, profit_avg=186.35, load_min=81.04, att_min=26.84, quality_max=467.14, quality_avg=206.74, tasks_avg=32.78, HV=0.3445, feasible ratio=1.00, fea_archive=200, inf_archive=102
Gen  99: profit_max=461.00, profit_avg=187.24, load_min=81.04, att_min=26.84, quality_max=467.14, quality_avg=207.20, tasks_avg=32.88, HV=0.3451, feasible ratio=1.00, fea_archive=200, inf_archive=102
Gen 100: profit_max=461.00, profit_avg=192.81, load_min=81.04, att_min=26.84, quality_max=467.14, quality_avg=211.98, tasks_avg=33.74, HV=0.3450, feasible ratio=1.00, fea_archive=200, inf_archive=102
Final feasible solutions used for summary/HV: 100/100
Run 1 best: profit=461.0, load=81.04, att=26.84, quality=467.14

========== MODE-SDAS + DPIC + Dual Archive Run 2/8 ==========
Init: HV=0.3803, feasible ratio=0.46
Gen   1: profit_max=146.00, profit_avg=70.97, load_min=27.04, att_min=35.16, quality_max=155.10, quality_avg=77.69, tasks_avg=12.49, HV=0.3900, feasible ratio=0.73, fea_archive=119, inf_archive=81
Gen   2: profit_max=218.00, profit_avg=84.04, load_min=27.04, att_min=39.96, quality_max=231.18, quality_avg=90.60, tasks_avg=14.69, HV=0.2923, feasible ratio=0.93, fea_archive=200, inf_archive=88
Gen   3: profit_max=218.00, profit_avg=92.64, load_min=27.04, att_min=39.96, quality_max=231.18, quality_avg=98.87, tasks_avg=16.12, HV=0.3144, feasible ratio=1.00, fea_archive=200, inf_archive=88
Gen   4: profit_max=257.00, profit_avg=103.19, load_min=27.04, att_min=39.96, quality_max=238.14, quality_avg=108.84, tasks_avg=17.87, HV=0.3147, feasible ratio=1.00, fea_archive=200, inf_archive=88
Gen   5: profit_max=257.00, profit_avg=106.63, load_min=27.04, att_min=39.96, quality_max=238.14, quality_avg=112.00, tasks_avg=18.46, HV=0.3305, feasible ratio=1.00, fea_archive=200, inf_archive=88
Gen   6: profit_max=331.00, profit_avg=114.13, load_min=27.04, att_min=39.96, quality_max=310.37, quality_avg=119.13, tasks_avg=19.74, HV=0.2349, feasible ratio=1.00, fea_archive=200, inf_archive=88
